HOUR,TIME RANGE,Speed,Vehicle 
9,00:00 - 15:00,62,Car
9,00:00 - 15:00,85,Car
9,00:00 - 15:00,57,Car
9,00:00 - 15:00,76,Car
9,00:00 - 15:00,66,Car
9,00:00 - 15:00,84,Car
9,00:00 - 15:00,83,Car
9,00:00 - 15:00,83,Car
9,00:00 - 15:00,99,Car
9,00:00 - 15:00,69,Car
9,00:00 - 15:00,78,Car
9,00:00 - 15:00,83,Car
9,00:00 - 15:00,91,Car
9,00:00 - 15:00,88,Car
9,00:00 - 15:00,88,Car
9,00:00 - 15:00,69,Car
9,00:00 - 15:00,82,Car
9,00:00 - 15:00,69,Car
9,00:00 - 15:00,58,Car
9,00:00 - 15:00,73,Car
9,00:00 - 15:00,70,Car
9,00:00 - 15:00,76,Car
9,45:00 - 60:00,61,Car
9,45:00 - 60:00,91,Car
9,45:00 - 60:00,90,Car
9,45:00 - 60:00,85,Car
9,45:00 - 60:00,91,Car
9,45:00 - 60:00,75,Car
9,45:00 - 60:00,74,Car
9,45:00 - 60:00,76,Car
9,45:00 - 60:00,78,Car
9,45:00 - 60:00,80,Car
9,45:00 - 60:00,73,Car
9,45:00 - 60:00,72,Car
9,45:00 - 60:00,91,Car
9,45:00 - 60:00,76,Car
9,45:00 - 60:00,90,Car
9,45:00 - 60:00,86,Car
9,45:00 - 60:00,65,Car
10,15:00 - 30:00,85,Car
10,15:00 - 30:00,81,Car
10,15:00 - 30:00,80,Car
10,15:00 - 30:00,86,Car
10,15:00 - 30:00,69,Car
10,15:00 - 30:00,92,Car
10,15:00 - 30:00,70,Car
10,15:00 - 30:00,64,Car
10,15:00 - 30:00,63,Car
10,15:00 - 30:00,60,Car
10,15:00 - 30:00,66,Car
10,15:00 - 30:00,81,Car
10,15:00 - 30:00,78,Car
10,15:00 - 30:00,92,Car
10,15:00 - 30:00,68,Car
10,15:00 - 30:00,85,Car
10,45:00 - 60:00,68,Car
10,45:00 - 60:00,64,Car
10,45:00 - 60:00,87,Car
10,45:00 - 60:00,83,Car
10,45:00 - 60:00,97,Car
10,45:00 - 60:00,99,Car
10,45:00 - 60:00,64,Car
10,45:00 - 60:00,85,Car
10,45:00 - 60:00,95,Car
10,45:00 - 60:00,80,Car
10,45:00 - 60:00,70,Car
10,45:00 - 60:00,95,Car
10,45:00 - 60:00,61,Car
10,45:00 - 60:00,69,Car
10,45:00 - 60:00,67,Car
10,45:00 - 60:00,96,Car
10,45:00 - 60:00,92,Car
11,15:00 - 30:00,75,Car
11,15:00 - 30:00,62,Car
11,15:00 - 30:00,59,Car
11,15:00 - 30:00,45,Car
11,15:00 - 30:00,78,Car
11,15:00 - 30:00,67,Car
11,15:00 - 30:00,75,Car
11,15:00 - 30:00,85,Car
11,15:00 - 30:00,92,Car
11,15:00 - 30:00,80,Car
11,15:00 - 30:00,84,Car
11,15:00 - 30:00,93,Car
11,45:00 - 60:00,72,Car
11,45:00 - 60:00,82,Car
11,45:00 - 60:00,75,Car
11,45:00 - 60:00,97,Car
11,45:00 - 60:00,90,Car
11,45:00 - 60:00,76,Car
